,HMP ID,Organism Name,Domain,NCBI Superkingdom,HMP Isolation Body Site,Project Status,NCBI Submission Status,NCBI Project ID,Gene Count,IMG/HMP ID,Funding Source,Name Category,Name Details
325,610,Neisseria subflava NJ9703,BACTERIAL,Bacteria,oral,Complete,6. annotation (and sequence) public on NCBI site,30483,2621,643886194,NIH-HMP Jumpstart Supplement,Neisseria,subflava NJ9703
326,614,Oxalobacter formigenes HOxBLS,BACTERIAL,Bacteria,gastrointestinal_tract,Complete,6. annotation (and sequence) public on NCBI site,32497,2260,646206250,NIH-NHGRI,Oxalobacter,formigenes HOxBLS
327,615,Oxalobacter formigenes OXCC13,BACTERIAL,Bacteria,gastrointestinal_tract,Complete,6. annotation (and sequence) public on NCBI site,32499,2124,646206265,NIH-NHGRI,Oxalobacter,formigenes OXCC13
328,617,Paenibacillus sp. oral taxon 786 str. D14,BACTERIAL,Bacteria,oral,Complete,6. annotation (and sequence) public on NCBI site,34703,4532,647533191,NIH-HMP Jumpstart Supplement,Paenibacillus,sp. oral taxon 786 str. D14
329,618,Parabacteroides johnsonii DSM 18315,BACTERIAL,Bacteria,gastrointestinal_tract,Complete,6. annotation (and sequence) public on NCBI site,30007,4515,642979358,NIH-HMP NHGRI,Parabacteroides,johnsonii DSM 18315
330,619,Parabacteroides sp. D13,BACTERIAL,Bacteria,gastrointestinal_tract,Complete,6. annotation (and sequence) public on NCBI site,38359,4562,646206279,NIH-NHGRI,Parabacteroides,sp. D13
331,620,Parascardovia denticolens DSM 10105,BACTERIAL,Bacteria,oral,Complete,6. annotation (and sequence) public on NCBI site,50509,1680,649989980,NIH-HMP Jumpstart Supplement,Parascardovia,denticolens DSM 10105
332,621,Pasteurella dagmatis ATCC 43325,BACTERIAL,Bacteria,airways,Complete,6. annotation (and sequence) public on NCBI site,40085,2053,647000288,NIH-HMP Jumpstart Supplement,Pasteurella,dagmatis ATCC 43325
333,623,Pediococcus acidilactici DSM 20284,BACTERIAL,Bacteria,gastrointestinal_tract,Complete,6. annotation (and sequence) public on NCBI site,50527,1884,649989981,NIH-HMP Jumpstart Supplement,Pediococcus,acidilactici DSM 20284
334,628,Peptoniphilus lacrimalis 315-B,BACTERIAL,Bacteria,urogenital_tract,Complete,6. annotation (and sequence) public on NCBI site,34107,1589,647000289,NIH-HMP Jumpstart Supplement,Peptoniphilus,lacrimalis 315-B
335,629,Peptoniphilus sp. oral taxon 386 str. F0131,BACTERIAL,Bacteria,oral,Complete,6. annotation (and sequence) public on NCBI site,41969,1463,648861011,NIH-HMP Jumpstart Supplement,Peptoniphilus,sp. oral taxon 386 str. F0131
336,631,Peptostreptococcus anaerobius 653-L,BACTERIAL,Bacteria,skin,Complete,6. annotation (and sequence) public on NCBI site,34105,1871,647000290,NIH-HMP Jumpstart Supplement,Peptostreptococcus,anaerobius 653-L
337,632,Parvimonas micra ATCC 33270,BACTERIAL,Bacteria,gastrointestinal_tract,Complete,6. annotation (and sequence) public on NCBI site,18169,1678,641380421,NIH-HMP NHGRI,Parvimonas,micra ATCC 33270
338,634,Peptostreptococcus stomatis DSM 17678,BACTERIAL,Bacteria,oral,Complete,6. annotation (and sequence) public on NCBI site,34073,1600,648276712,NIH-HMP Jumpstart Supplement,Peptostreptococcus,stomatis DSM 17678
339,636,Porphyromonas catoniae ATCC 51270,BACTERIAL,Bacteria,oral,Complete,6. annotation (and sequence) public on NCBI site,52993,1597,0,NIH-HMP,Porphyromonas,catoniae ATCC 51270
340,637,Porphyromonas endodontalis ATCC 35406,BACTERIAL,Bacteria,oral,Complete,6. annotation (and sequence) public on NCBI site,31385,1965,643886148,NIH-HMP Jumpstart Supplement,Porphyromonas,endodontalis ATCC 35406
341,645,Prevotella bergensis DSM 17361,BACTERIAL,Bacteria,skin,Complete,6. annotation (and sequence) public on NCBI site,34637,2825,645951825,NIH-HMP Jumpstart Supplement,Prevotella,bergensis DSM 17361
342,647,Prevotella bivia DNF00320,BACTERIAL,Bacteria,urogenital_tract,Complete,6. annotation (and sequence) public on NCBI site,219665,2132,0,NIH-HMP,Prevotella,bivia DNF00320
343,648,Prevotella bivia JCVIHMP010,BACTERIAL,Bacteria,urogenital_tract,Complete,6. annotation (and sequence) public on NCBI site,31377,2041,647000292,NIH-HMP Jumpstart Supplement,Prevotella,bivia JCVIHMP010
344,649,Prevotella buccae D17,BACTERIAL,Bacteria,oral,Complete,6. annotation (and sequence) public on NCBI site,38737,2667,647533195,NIH-HMP Jumpstart Supplement,Prevotella,buccae D17
345,650,Prevotella buccalis ATCC 35310,BACTERIAL,Bacteria,urogenital_tract,Complete,6. annotation (and sequence) public on NCBI site,40669,2456,647000293,NIH-HMP Jumpstart Supplement,Prevotella,buccalis ATCC 35310
346,651,Prevotella copri DSM 18205,BACTERIAL,Bacteria,gastrointestinal_tract,Complete,6. annotation (and sequence) public on NCBI site,30025,3337,643886200,NIH-HMP NHGRI,Prevotella,copri DSM 18205
347,653,Prevotella disiens JCM 6334 = ATCC 29426,BACTERIAL,NO KINGDOM,urogenital_tract,Complete,6. annotation (and sequence) public on NCBI site,181042,2810,0,NIH-HMP Jumpstart Supplement,Prevotella,disiens JCM 6334 = ATCC 29426
348,654,Prevotella disiens DNF00882,BACTERIAL,Bacteria,urogenital_tract,Complete,6. annotation (and sequence) public on NCBI site,219674,2350,0,NIH-HMP,Prevotella,disiens DNF00882
349,658,Prevotella marshii DSM 16973,BACTERIAL,Bacteria,oral,Complete,6. annotation (and sequence) public on NCBI site,50531,2335,648276716,NIH-HMP Jumpstart Supplement,Prevotella,marshii DSM 16973
350,659,Prevotella melaninogenica ATCC 25845,BACTERIAL,Bacteria,oral,Complete,6. annotation (and sequence) public on NCBI site,31383,2296,648028051,NIH-HMP Jumpstart Supplement,Prevotella,melaninogenica ATCC 25845
351,660,Prevotella melaninogenica D18,BACTERIAL,Bacteria,oral,Complete,6. annotation (and sequence) public on NCBI site,40045,2511,647533196,NIH-HMP Jumpstart Supplement,Prevotella,melaninogenica D18
352,661,Prevotella melaninogenica DNF00666,BACTERIAL,Bacteria,urogenital_tract,Complete,6. annotation (and sequence) public on NCBI site,219671,2174,0,NIH-HMP,Prevotella,melaninogenica DNF00666
353,662,Prevotella nigrescens F0103,BACTERIAL,Bacteria,oral,Complete,6. annotation (and sequence) public on NCBI site,43119,2757,0,NIH-HMP,Prevotella,nigrescens F0103
354,663,Prevotella oralis ATCC 33269,BACTERIAL,Bacteria,urogenital_tract,Complete,6. annotation (and sequence) public on NCBI site,51495,2488,649989988,NIH-HMP Sequencing Center,Prevotella,oralis ATCC 33269
355,665,Prevotella oris C735,BACTERIAL,Bacteria,airways,Complete,6. annotation (and sequence) public on NCBI site,42537,2714,648861012,NIH-HMP Jumpstart Supplement,Prevotella,oris C735
356,666,Prevotella sp. C561,BACTERIAL,Bacteria,airways,Complete,6. annotation (and sequence) public on NCBI site,41971,3402,2513237323,NIH-HMP Jumpstart Supplement,Prevotella,sp. C561
357,669,Prevotella sp. oral taxon 299 str. F0039,BACTERIAL,Bacteria,oral,Complete,6. annotation (and sequence) public on NCBI site,40047,1960,647533197,NIH-HMP Jumpstart Supplement,Prevotella,sp. oral taxon 299 str. F0039
358,670,Prevotella sp. oral taxon 317 str. F0108,BACTERIAL,Bacteria,oral,Complete,6. annotation (and sequence) public on NCBI site,38521,2975,647533198,NIH-HMP Jumpstart Supplement,Prevotella,sp. oral taxon 317 str. F0108
359,671,Prevotella sp. S7MS2,BACTERIAL,Bacteria,urogenital_tract,Complete,6. annotation (and sequence) public on NCBI site,219649,2144,0,NIH-HMP,Prevotella,sp. S7MS2
360,673,Prevotella stercorea DSM 18206,BACTERIAL,Bacteria,gastrointestinal_tract,Complete,6. annotation (and sequence) public on NCBI site,65131,3017,2513237318,NIH-HMP Sequencing Center,Prevotella,stercorea DSM 18206
361,674,Prevotella tannerae ATCC 51259,BACTERIAL,Bacteria,oral,Complete,6. annotation (and sequence) public on NCBI site,33153,2811,645951840,NIH-NHGRI,Prevotella,tannerae ATCC 51259
362,675,Propionibacterium acnes SK137,BACTERIAL,Bacteria,skin,Complete,6. annotation (and sequence) public on NCBI site,31005,2352,646564561,NIH-HMP Jumpstart Supplement,Propionibacterium,acnes SK137
363,682,Propionibacterium acidifaciens F0233,BACTERIAL,Bacteria,skin,Complete,6. annotation (and sequence) public on NCBI site,31003,2913,645058700,NIH-HMP Jumpstart Supplement,Propionibacterium,acidifaciens F0233
364,693,Proteus mirabilis ATCC 29906,BACTERIAL,Bacteria,urogenital_tract,Complete,6. annotation (and sequence) public on NCBI site,31523,3812,643886024,NIH-HMP Jumpstart Supplement,Proteus,mirabilis ATCC 29906
365,696,Proteus penneri ATCC 35198,BACTERIAL,Bacteria,gastrointestinal_tract,Complete,6. annotation (and sequence) public on NCBI site,20551,4909,643886117,NIH-HMP NHGRI,Proteus,penneri ATCC 35198
366,699,Providencia alcalifaciens DSM 30120,BACTERIAL,Bacteria,gastrointestinal_tract,Complete,6. annotation (and sequence) public on NCBI site,29297,4022,642979317,NIH-HMP NHGRI,Providencia,alcalifaciens DSM 30120
367,700,Providencia rettgeri DSM 1131,BACTERIAL,Bacteria,gastrointestinal_tract,Complete,6. annotation (and sequence) public on NCBI site,29299,4754,643886041,NIH-HMP NHGRI,Providencia,rettgeri DSM 1131
368,701,Providencia rustigianii DSM 4541,BACTERIAL,Bacteria,gastrointestinal_tract,Complete,6. annotation (and sequence) public on NCBI site,28651,3969,642979318,NIH-HMP NHGRI,Providencia,rustigianii DSM 4541
369,702,Providencia stuartii ATCC 25827,BACTERIAL,Bacteria,gastrointestinal_tract,Complete,6. annotation (and sequence) public on NCBI site,20553,4737,641736172,NIH-HMP NHGRI,Providencia,stuartii ATCC 25827
370,721,Pseudoramibacter alactolyticus ATCC 23263,BACTERIAL,Bacteria,oral,Complete,6. annotation (and sequence) public on NCBI site,52995,2515,649989993,NIH-HMP Jumpstart Supplement,Pseudoramibacter,alactolyticus ATCC 23263
371,724,Rhodococcus equi ATCC 33707,BACTERIAL,Bacteria,skin,Complete,6. annotation (and sequence) public on NCBI site,31525,5030,647000305,NIH-HMP Jumpstart Supplement,Rhodococcus,equi ATCC 33707
372,726,Rhodococcus erythropolis SK121,BACTERIAL,Bacteria,skin,Complete,6. annotation (and sequence) public on NCBI site,34067,6713,643886201,NIH-HMP Jumpstart Supplement,Rhodococcus,erythropolis SK121
373,727,Roseburia faecis M72/1,BACTERIAL,Bacteria,gastrointestinal_tract,In Progress,4. sequence public on NCBI site,19925,0,0,NIH-HMP,Roseburia,faecis M72/1
374,728,Roseburia intestinalis L1-82,BACTERIAL,Bacteria,gastrointestinal_tract,Complete,6. annotation (and sequence) public on NCBI site,30005,4707,642979356,NIH-HMP NHGRI,Roseburia,intestinalis L1-82
375,730,Roseburia inulinivorans DSM 16841,BACTERIAL,Bacteria,gastrointestinal_tract,Complete,6. annotation (and sequence) public on NCBI site,30757,4415,643886006,NIH-HMP NHGRI,Roseburia,inulinivorans DSM 16841
376,731,Roseomonas cervicalis ATCC 49957,BACTERIAL,Bacteria,urogenital_tract,Complete,6. annotation (and sequence) public on NCBI site,31527,4778,2513237333,NIH-NHGRI,Roseomonas,cervicalis ATCC 49957
377,733,Rothia dentocariosa ATCC 17931,BACTERIAL,Bacteria,oral,Complete,6. annotation (and sequence) public on NCBI site,48447,2217,649633093,NIH-HMP Jumpstart Supplement,Rothia,dentocariosa ATCC 17931
378,734,Rothia dentocariosa M567,BACTERIAL,Bacteria,airways,Complete,6. annotation (and sequence) public on NCBI site,42539,2185,648861015,NIH-HMP Jumpstart Supplement,Rothia,dentocariosa M567
379,736,Rothia mucilaginosa ATCC 25296,BACTERIAL,Bacteria,airways,Complete,6. annotation (and sequence) public on NCBI site,31405,1737,645058800,NIH-HMP Jumpstart Supplement,Rothia,mucilaginosa ATCC 25296
380,737,Rothia mucilaginosa M508,BACTERIAL,Bacteria,airways,Complete,6. annotation (and sequence) public on NCBI site,38789,1790,0,NIH-HMP Jumpstart Supplement,Rothia,mucilaginosa M508
381,742,Rothia aeria F0184,BACTERIAL,Bacteria,oral,Complete,6. annotation (and sequence) public on NCBI site,52997,2704,0,NIH-HMP,Rothia,aeria F0184
382,745,Ruminococcus callidus ATCC 27760,BACTERIAL,NO KINGDOM,gastrointestinal_tract,Complete,6. annotation (and sequence) public on NCBI site,18185,3475,0,NIH-HMP NHGRI,Ruminococcus,callidus ATCC 27760
383,746,Ruminococcus gnavus ATCC 29149,BACTERIAL,Bacteria,gastrointestinal_tract,Complete,6. annotation (and sequence) public on NCBI site,18179,3913,640963057,NIH-HMP NHGRI,Ruminococcus,gnavus ATCC 29149
384,747,Ruminococcus sp. GM2/1,BACTERIAL,Bacteria,gastrointestinal_tract,In Progress,4. sequence public on NCBI site,19927,0,0,NIH-HMP,Ruminococcus,sp. GM2/1
385,748,Blautia hansenii DSM 20583,BACTERIAL,Bacteria,gastrointestinal_tract,Complete,6. annotation (and sequence) public on NCBI site,30021,3171,643886146,NIH-HMP NHGRI,Blautia,hansenii DSM 20583
386,749,Blautia hydrogenotrophica DSM 10507,BACTERIAL,Bacteria,gastrointestinal_tract,Complete,6. annotation (and sequence) public on NCBI site,21007,3869,643886199,NIH-HMP NHGRI,Blautia,hydrogenotrophica DSM 10507
387,750,Ruminococcus lactaris ATCC 29176,BACTERIAL,Bacteria,gastrointestinal_tract,Complete,6. annotation (and sequence) public on NCBI site,20557,2750,642791604,NIH-HMP NHGRI,Ruminococcus,lactaris ATCC 29176
388,752,Ruminococcus obeum ATCC 29174,BACTERIAL,Bacteria,gastrointestinal_tract,Complete,6. annotation (and sequence) public on NCBI site,18147,4175,640963024,NIH-HMP NHGRI,Ruminococcus,obeum ATCC 29174
389,753,Ruminococcus sp. 5_1_39B_FAA,BACTERIAL,Bacteria,gastrointestinal_tract,Complete,6. annotation (and sequence) public on NCBI site,32503,3516,646206280,NIH-NHGRI,Ruminococcus,sp. 5_1_39B_FAA
390,754,Ruminococcus torques ATCC 27756,BACTERIAL,Bacteria,gastrointestinal_tract,Complete,6. annotation (and sequence) public on NCBI site,18153,2875,640963025,NIH-HMP NHGRI,Ruminococcus,torques ATCC 27756
391,755,Selenomonas sputigena ATCC 35185,BACTERIAL,Bacteria,oral,Complete,6. annotation (and sequence) public on NCBI site,30489,2647,645951802,NIH-HMP Jumpstart Supplement,Selenomonas,sputigena ATCC 35185
392,758,Serratia odorifera DSM 4582,BACTERIAL,Bacteria,airways,Complete,6. annotation (and sequence) public on NCBI site,40087,5121,647000312,NIH-HMP Jumpstart Supplement,Serratia,odorifera DSM 4582
393,760,Escherichia coli D9,BACTERIAL,Bacteria,gastrointestinal_tract,Complete,6. annotation (and sequence) public on NCBI site,32507,4526,645058835,NIH-NHGRI,Escherichia,coli D9
394,761,Shuttleworthia satelles DSM 14600,BACTERIAL,Bacteria,oral,Complete,6. annotation (and sequence) public on NCBI site,33169,2261,643886070,NIH-HMP Jumpstart Supplement,Shuttleworthia,satelles DSM 14600
395,762,Slackia exigua ATCC 700122,BACTERIAL,Bacteria,oral,Complete,6. annotation (and sequence) public on NCBI site,38335,2029,645951837,NIH-NHGRI,Slackia,exigua ATCC 700122
396,765,Sphingobacterium spiritivorum ATCC 33300,BACTERIAL,Bacteria,urogenital_tract,Complete,6. annotation (and sequence) public on NCBI site,31529,4925,643886135,NIH-NHGRI,Sphingobacterium,spiritivorum ATCC 33300
397,766,Sphingobacterium spiritivorum ATCC 33861,BACTERIAL,Bacteria,urogenital_tract,Complete,6. annotation (and sequence) public on NCBI site,31531,4471,645058810,NIH-HMP Jumpstart Supplement,Sphingobacterium,spiritivorum ATCC 33861
398,769,Staphylococcus aureus subsp. aureus MN8,BACTERIAL,Bacteria,urogenital_tract,Complete,6. annotation (and sequence) public on NCBI site,31533,2833,648276731,NIH-HMP Jumpstart Supplement,Staphylococcus,aureus subsp. aureus MN8
399,772,Staphylococcus aureus subsp. aureus TCH60,BACTERIAL,Bacteria,skin,Complete,6. annotation (and sequence) public on NCBI site,31539,2700,651053070,NIH-HMP Jumpstart Supplement,Staphylococcus,aureus subsp. aureus TCH60
400,773,Staphylococcus aureus subsp. aureus TCH70,BACTERIAL,Bacteria,skin,Complete,6. annotation (and sequence) public on NCBI site,31543,2731,645058814,NIH-HMP Jumpstart Supplement,Staphylococcus,aureus subsp. aureus TCH70
401,774,Staphylococcus aureus subsp. aureus 130,BACTERIAL,Bacteria,skin,Complete,6. annotation (and sequence) public on NCBI site,31541,2856,645058811,NIH-HMP Jumpstart Supplement,Staphylococcus,aureus subsp. aureus 130
402,776,Staphylococcus aureus subsp. aureus USA300_TCH959,BACTERIAL,Bacteria,skin,Complete,6. annotation (and sequence) public on NCBI site,19921,2906,641736191,NIH-HMP Jumpstart Supplement,Staphylococcus,aureus subsp. aureus USA300_TCH959
403,777,Staphylococcus aureus subsp. aureus USA300_TCH1516,BACTERIAL,Bacteria,skin,Complete,6. annotation (and sequence) public on NCBI site,19489,2689,0,NIH-HMP Jumpstart Supplement,Staphylococcus,aureus subsp. aureus USA300_TCH1516
404,782,Staphylococcus aureus subsp. aureus,BACTERIAL,Bacteria,airways,Complete,6. annotation (and sequence) public on NCBI site,48445,2693,647000321,NIH-HMP,Staphylococcus,aureus subsp. aureus
405,783,Staphylococcus aureus subsp. aureus ATCC BAA-39,BACTERIAL,Bacteria,airways,Complete,6. annotation (and sequence) public on NCBI site,50533,2836,648276730,NIH-HMP,Staphylococcus,aureus subsp. aureus ATCC BAA-39
406,785,Staphylococcus capitis SK14,BACTERIAL,Bacteria,skin,Complete,6. annotation (and sequence) public on NCBI site,31013,2230,643886010,NIH-HMP Jumpstart Supplement,Staphylococcus,capitis SK14
407,786,Staphylococcus caprae C87,BACTERIAL,Bacteria,airways,Complete,6. annotation (and sequence) public on NCBI site,38749,2472,651285006,NIH-HMP Jumpstart Supplement,Staphylococcus,caprae C87
408,789,Staphylococcus epidermidis BCM-HMP0060,BACTERIAL,Bacteria,skin,Complete,6. annotation (and sequence) public on NCBI site,31545,2507,645058812,NIH-HMP Jumpstart Supplement,Staphylococcus,epidermidis BCM-HMP0060
409,790,Staphylococcus lugdunensis M23590,BACTERIAL,Bacteria,skin,Complete,6. annotation (and sequence) public on NCBI site,34653,2421,649990000,NIH-HMP Jumpstart Supplement,Staphylococcus,lugdunensis M23590
410,791,Staphylococcus epidermidis W23144,BACTERIAL,Bacteria,skin,Complete,6. annotation (and sequence) public on NCBI site,34655,2562,645058851,NIH-HMP Jumpstart Supplement,Staphylococcus,epidermidis W23144
411,794,Staphylococcus epidermidis M23864:W2(grey),BACTERIAL,Bacteria,skin,Complete,6. annotation (and sequence) public on NCBI site,34643,2407,647000323,NIH-HMP Jumpstart Supplement,Staphylococcus,epidermidis M23864:W2(grey)
412,797,Staphylococcus epidermidis SK135,BACTERIAL,Bacteria,skin,Complete,6. annotation (and sequence) public on NCBI site,34077,2395,647000324,NIH-HMP Jumpstart Supplement,Staphylococcus,epidermidis SK135
413,798,Staphylococcus hominis subsp. hominis C80,BACTERIAL,Bacteria,airways,Complete,6. annotation (and sequence) public on NCBI site,38759,2249,651285007,NIH-HMP Jumpstart Supplement,Staphylococcus,hominis subsp. hominis C80
414,799,Staphylococcus hominis SK119,BACTERIAL,Bacteria,skin,Complete,6. annotation (and sequence) public on NCBI site,34087,2182,643886039,NIH-HMP Jumpstart Supplement,Staphylococcus,hominis SK119
415,812,Streptococcus agalactiae PSS_7736,BACTERIAL,Bacteria,skin,Complete,6. annotation (and sequence) public on NCBI site,254657,2180,0,NIH-HMP Sequencing Center,Streptococcus,agalactiae PSS_7736
416,813,Streptococcus anginosus F0211,BACTERIAL,Bacteria,oral,Complete,6. annotation (and sequence) public on NCBI site,43129,2035,649990002,NIH-HMP Sequencing Center,Streptococcus,anginosus F0211
417,819,Streptococcus equinus ATCC 9812,BACTERIAL,Bacteria,gastrointestinal_tract,Complete,6. annotation (and sequence) public on NCBI site,52999,1793,649990006,NIH-HMP,Streptococcus,equinus ATCC 9812
418,821,Streptococcus infantarius subsp. infantarius ATCC BAA-102,BACTERIAL,Bacteria,gastrointestinal_tract,Complete,6. annotation (and sequence) public on NCBI site,20527,2051,641736171,NIH-HMP NHGRI,Streptococcus,infantarius subsp. infantarius ATCC BAA-102
419,833,Streptococcus parasanguinis ATCC 15912,BACTERIAL,Bacteria,oral,Complete,6. annotation (and sequence) public on NCBI site,48315,2022,650716089,NIH-HMP,Streptococcus,parasanguinis ATCC 15912
420,837,Streptococcus pneumoniae TCH8431/19A,BACTERIAL,Bacteria,airways,Complete,6. annotation (and sequence) public on NCBI site,34659,2275,648028057,NIH-HMP Jumpstart Supplement,Streptococcus,pneumoniae TCH8431/19A
421,841,Streptococcus pyogenes ATCC 10782,BACTERIAL,Bacteria,airways,Complete,6. annotation (and sequence) public on NCBI site,50517,1943,648276747,NIH-HMP,Streptococcus,pyogenes ATCC 10782
422,845,Streptococcus salivarius SK126,BACTERIAL,Bacteria,skin,Complete,6. annotation (and sequence) public on NCBI site,34091,1992,643886022,NIH-HMP Jumpstart Supplement,Streptococcus,salivarius SK126
423,848,Streptococcus sp. C150,BACTERIAL,Bacteria,airways,Complete,6. annotation (and sequence) public on NCBI site,38751,2045,651285008,NIH-HMP Jumpstart Supplement,Streptococcus,sp. C150
424,849,Streptococcus sp. C300,BACTERIAL,Bacteria,airways,Complete,6. annotation (and sequence) public on NCBI site,38753,1968,651285009,NIH-HMP Jumpstart Supplement,Streptococcus,sp. C300
425,850,Streptococcus sp. M143,BACTERIAL,Bacteria,airways,Complete,6. annotation (and sequence) public on NCBI site,38755,1852,647533232,NIH-HMP Jumpstart Supplement,Streptococcus,sp. M143
426,851,Streptococcus sp. M334,BACTERIAL,Bacteria,airways,Complete,6. annotation (and sequence) public on NCBI site,38757,2145,651285010,NIH-HMP Jumpstart Supplement,Streptococcus,sp. M334
427,858,Subdoligranulum variabile DSM 15176,BACTERIAL,Bacteria,gastrointestinal_tract,Complete,6. annotation (and sequence) public on NCBI site,18181,3381,643886143,NIH-HMP NHGRI,Subdoligranulum,variabile DSM 15176
428,860,Treponema socranskii subsp. socranskii VPI DR56BR1116 = ATCC 35536,BACTERIAL,NO KINGDOM,oral,Complete,6. annotation (and sequence) public on NCBI site,216958,2624,0,NIH-HMP,Treponema,socranskii subsp. socranskii VPI DR56BR1116 = ATCC 35536
429,866,Ruminococcaceae bacterium D16,BACTERIAL,Bacteria,gastrointestinal_tract,Complete,6. annotation (and sequence) public on NCBI site,42541,2994,648276721,NIH-NHGRI,Ruminococcaceae,bacterium D16
430,868,Clostridiales genomosp. BVAB3 str. UPII9-5 genomosp,BACTERIAL,Bacteria,urogenital_tract,Complete,6. annotation (and sequence) public on NCBI site,42555,1567,646564521,NIH-HMP,Clostridiales,genomosp. BVAB3 str. UPII9-5 genomosp
431,870,Veillonella atypica KON,BACTERIAL,Bacteria,oral,Complete,6. annotation (and sequence) public on NCBI site,80237,1911,0,NIH-HMP Sequencing Center,Veillonella,atypica KON
432,871,Veillonella dispar ATCC 17748,BACTERIAL,Bacteria,oral,Complete,6. annotation (and sequence) public on NCBI site,30491,1954,643886074,NIH-HMP Jumpstart Supplement,Veillonella,dispar ATCC 17748
433,872,Veillonella montpellierensis DNF00314,BACTERIAL,Bacteria,urogenital_tract,Complete,6. annotation (and sequence) public on NCBI site,219664,1513,0,NIH-HMP,Veillonella,montpellierensis DNF00314
434,874,Veillonella sp. 6_1_27,BACTERIAL,Bacteria,gastrointestinal_tract,Complete,6. annotation (and sequence) public on NCBI site,41977,1898,647533242,NIH-NHGRI,Veillonella,sp. 6_1_27
435,877,Weissella paramesenteroides ATCC 33313,BACTERIAL,Bacteria,gastrointestinal_tract,Complete,6. annotation (and sequence) public on NCBI site,34661,1952,645058793,NIH-HMP Jumpstart Supplement,Weissella,paramesenteroides ATCC 33313
436,880,Yokenella regensburgei ATCC 43003,BACTERIAL,Bacteria,gastrointestinal_tract,Complete,6. annotation (and sequence) public on NCBI site,65133,4710,0,NIH-HMP Sequencing Center,Yokenella,regensburgei ATCC 43003
437,882,Enterobacter cancerogenus ATCC 35316,BACTERIAL,Bacteria,gastrointestinal_tract,Complete,6. annotation (and sequence) public on NCBI site,28663,4618,642979368,NIH-HMP NHGRI,Enterobacter,cancerogenus ATCC 35316
438,883,Jonquetella anthropi E3_33 E1,BACTERIAL,Bacteria,oral,Complete,6. annotation (and sequence) public on NCBI site,33111,1834,645951855,NIH-NHGRI,Jonquetella,anthropi E3_33 E1
439,885,Lactobacillus jensenii 269-3,BACTERIAL,Bacteria,urogenital_tract,Complete,6. annotation (and sequence) public on NCBI site,34097,1575,645058722,NIH-HMP Jumpstart Supplement,Lactobacillus,jensenii 269-3
440,886,Lactobacillus jensenii 208-1,BACTERIAL,Bacteria,urogenital_tract,Complete,6. annotation (and sequence) public on NCBI site,34099,0,0,NIH-HMP Jumpstart Supplement,Lactobacillus,jensenii 208-1
441,888,Treponema vincentii ATCC 35580,BACTERIAL,Bacteria,oral,Complete,6. annotation (and sequence) public on NCBI site,34095,2559,645951869,NIH-HMP Jumpstart Supplement,Treponema,vincentii ATCC 35580
442,889,Megasphaera genomosp. type_1 str. 28L,BACTERIAL,Bacteria,urogenital_tract,Complete,6. annotation (and sequence) public on NCBI site,42553,1610,647000271,NIH-HMP,Megasphaera,genomosp. type_1 str. 28L
443,890,Lactobacillus gasseri 202-4,BACTERIAL,Bacteria,urogenital_tract,Complete,6. annotation (and sequence) public on NCBI site,36379,1773,645058712,NIH-HMP Jumpstart Supplement,Lactobacillus,gasseri 202-4
444,891,Lactobacillus crispatus 214-1,BACTERIAL,Bacteria,urogenital_tract,Complete,6. annotation (and sequence) public on NCBI site,40665,2163,647000264,NIH-HMP Jumpstart Supplement,Lactobacillus,crispatus 214-1
445,900,Porphyromonas uenonis 60-3,BACTERIAL,Bacteria,urogenital_tract,Complete,6. annotation (and sequence) public on NCBI site,34101,1977,643886142,NIH-HMP Jumpstart Supplement,Porphyromonas,uenonis 60-3
446,907,Coprobacillus sp. ORNL_6EZ5-Gt_1_Pl2-112,BACTERIAL,Bacteria,unknown,In Progress,2. project has NCBI project id,217569,0,0,NIH-HMP Sequencing Center,Coprobacillus,sp. ORNL_6EZ5-Gt_1_Pl2-112
447,909,Bacteroides massiliensis A03,BACTERIAL,Bacteria,gastrointestinal_tract,In Progress,0. project has not been submitted to NCBI,0,0,0,IHMC-JST,Bacteroides,massiliensis A03
448,910,Bacteroides sp A01,BACTERIAL,Bacteria,gastrointestinal_tract,In Progress,0. project has not been submitted to NCBI,0,0,0,IHMC-JST,Bacteroides,sp A01
449,911,Bacteroides xylanisolvens XB1A,BACTERIAL,Bacteria,gastrointestinal_tract,Complete,6. annotation (and sequence) public on NCBI site,39177,0,650377911,IHMC-MetaHIT,Bacteroides,xylanisolvens XB1A
450,912,Bifidobacterium angulatum JCM 7096,BACTERIAL,Bacteria,gastrointestinal_tract,In Progress,0. project has not been submitted to NCBI,0,0,0,IHMC-JST,Bifidobacterium,angulatum JCM 7096
451,913,Bifidobacterium bifidum JCM 1255,BACTERIAL,Bacteria,gastrointestinal_tract,Complete,6. annotation (and sequence) public on NCBI site,279560,0,0,IHMC-JST,Bifidobacterium,bifidum JCM 1255
452,914,Bifidobacterium breve JCM 1192,BACTERIAL,Bacteria,gastrointestinal_tract,In Progress,0. project has not been submitted to NCBI,0,0,0,IHMC-JST,Bifidobacterium,breve JCM 1192
453,915,Bifidobacterium catenulatum JCM 1194,BACTERIAL,Bacteria,gastrointestinal_tract,In Progress,0. project has not been submitted to NCBI,0,0,0,IHMC-JST,Bifidobacterium,catenulatum JCM 1194
